套餐名称,方案编号,套餐价格,国内语音拨打分钟数,国内流量,国内短彩信,增值业务,超出资费,其他服务内容,适用范围,有效期限,销售渠道,上线日期,下线日期,在网要求,退订方式,违约责任,套餐说明
腾讯王卡5G版999元套餐,24JT301656,999元/月,5000分钟,500GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费999元/月，内含500GB全国通用流量、5000分钟国内语音、5G上网服务（下行峰值速率2Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20200917,20250710,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版799元套餐,24JT301655,799元/月,4000分钟,400GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费799元/月，内含400GB全国通用流量、4000分钟国内语音、5G上网服务（下行峰值速率2Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20200917,20250710,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版599元套餐,24JT301654,599元/月,3000分钟,300GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费599元/月，内含300GB全国通用流量、3000分钟国内语音、5G上网服务（下行峰值速率1Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20250710,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版399元套餐,24JT301653,399元/月,2000分钟,150GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费399元/月，内含150GB全国通用流量、2000分钟国内语音、5G上网服务（下行峰值速率1Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191028,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版299元套餐,24JT301652,299元/月,1500分钟,100GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费299元/月，内含100GB全国通用流量、1500分钟国内语音、5G上网服务（下行峰值速率1Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191025,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版239元套餐,24JT301651,239元/月,1000分钟,80GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费239元/月，内含80GB全国通用流量、1000分钟国内语音、5G上网服务（下行峰值速率1Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191104,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版199元套餐（极速）,24JT301650,199元/月,1000分钟,60GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费199元/月，内含60GB全国通用流量、1000分钟国内语音、5G上网服务（下行峰值速率1Gbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20200715,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版159元套餐,24JT301649,159元/月,700分钟,40GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费159元/月，内含40GB全国通用流量、700分钟国内语音、5G上网服务（下行峰值速率500Mbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191025,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版129元套餐,24JT301648,129元/月,500分钟,30GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费129元/月，内含30GB全国通用流量、500分钟国内语音、5G上网服务（下行峰值速率500Mbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191025,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G版99元套餐,24JT301647,99元/月,400分钟,20GB,,全国无漫游费，含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费99元/月，内含20GB全国通用流量、400分钟国内语音、5G上网服务（下行峰值速率500Mbps）和5G会员。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20200917,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,5G会员领取入口：“王卡助手”微信公众号-“开通”-“5G专区”页面。
腾讯王卡5G亲情卡套餐(尊享服务),24JT301660,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
腾讯王卡5G亲情卡套餐(极速服务),24JT301658,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
腾讯王卡5G亲情卡套餐(优享服务),24JT301659,10元/月,,0GB,,内含来电显示,套外流量3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费10元/月，与主卡互拨电话免费，共享主卡套餐内语音、流量和速率。,本套餐资费仅限腾讯王卡5G用户申请办理,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20191029,20291231,无,如需退订，可通过“中国联通APP”-“服务”-“销户”页面操作退订，或前往中国联通营业厅办理。,无,
畅越冰激凌5G套餐599元,25JT300224,599元/月,3000分钟,300GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费599元/月，包含300GB通用流量、3000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐499元,25JT300225,499元/月,2500分钟,200GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费499元/月，包含200GB通用流量、2500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐399元,25JT300232,399元/月,2000分钟,150GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费399元/月，包含150GB通用流量、2000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐399元,25JT300232,399元/月,2000分钟,150GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费399元/月，包含150GB通用流量、2000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐299元,25JT300227,299元/月,1500分钟,100GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费299元/月，包含100GB通用流量、1500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐269元,25JT300222,269元/月,1200分钟,90GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费269元/月，包含90GB通用流量、1200分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐239元,25JT300237,239元/月,1000分钟,80GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费239元/月，包含80GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐239元,25JT300237,239元/月,1000分钟,80GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费239元/月，包含80GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐199元,25JT300223,199元/月,1000分钟,60GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费199元/月，包含60GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐199元（极速）," 
25JT300230",199元/月,1000分钟,60GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费199元/月，包含60GB通用流量、1000分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐179元,25JT300229,179元/月,700分钟,50GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费179元/月，包含50GB通用流量、700分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐159元,25JT300236,159元/月,700分钟,40GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费159元/月，包含40GB通用流量、700分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐139元,25JT300234,139元/月,500分钟,35GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费139元/月，包含35GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐129元,25JT300226,129元/月,500分钟,30GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费129元/月，包含30GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
