套餐名称,方案编号,套餐价格,国内语音拨打分钟数,国内流量,国内短彩信,增值业务,超出资费,其他服务内容,适用范围,有效期限,销售渠道,上线日期,下线日期,在网要求,退订方式,违约责任,套餐说明
畅越冰激凌5G套餐119元,25JT300221,119元/月,500分钟,25GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费119元/月，包含25GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐109元,25JT300228,109元/月,500分钟,20GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费109元/月，包含20GB通用流量、500分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐99元,25JT300235,99元/月,400分钟,20GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费99元/月，包含20GB通用流量、400分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200404,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐89元,25JT300219,89元/月,400分钟,15GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费89元/月，包含15GB通用流量、400分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐79元,25JT300231,79元/月,300分钟,15GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费79元/月，包含15GB通用流量、300分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐69元,25JT300238,69元/月,250分钟,12GB,,,套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费69元/月，包含12GB通用流量、250分钟国内语音通话。套外流量3元/GB，套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐59元,25JT300233,59元/月,200分钟,10GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费59元/月，包含10GB通用流量、200分钟国内语音通话。套外流量按0.02元/MB计费，累计至5元，按照5元/GB计费，流量超过1GB后仍按上述标准计费。套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
畅越冰激凌5G套餐49元,25JT300220,49元/月,100分钟,10GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.15元/分钟，套外短彩信0.1元/条。,月费49元/月，包含10GB通用流量、100分钟国内语音通话。套外流量按0.02元/MB计费，累计至5元，按照5元/GB计费，流量超过1GB后仍按上述标准计费。套外语音0.15元/分钟，套外短彩信0.1元/条。,本产品仅限入网4个月以上（含4个月）且处于“正常在用”状态的中国联通手机用户办理。用户可通过中国联通客服热线（10010）查询其码号是否处于“正常在用”状态。,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推，顺延次数不限。,线下及线上渠道,20200723,20991231,无,如需退订可通过中国联通客服热线（10010）、中国联通营业厅办理。,无,
eSIM Pad包年套餐500元/年,24JT303628,500元/年,0分钟,500GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量500GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐500元/年。套餐内包含国内流量500GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM Pad包年套餐300元/年,24JT303627,300元/年,0分钟,300GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量300GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐300元/年。套餐内包含国内流量300GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
Tourism Sim Card 259 RMB For 30 Days,25JT303561,259元/30天,400分钟,80GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
Tourism Sim Card 159 RMB For 15 Days,25JT303560,159元/15天,300分钟,40GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
Tourism Sim Card 109 RMB For 11 Days,25JT303559,109元/11天,200分钟,25GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
eSIM Pad包年套餐100元/年,24JT303626,100元/年,0分钟,80GB,0条,,关闭语音功能，套外流量日租宝1元/GB全国流量（当日有效，自动续订）,套餐内包含国内流量80GB，使用期限包年,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240523,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad包年套餐100元/年。套餐内包含国内流量80GB/年，套餐内关闭语音功能、短信功能；套餐外资费日租宝1元1GB全国流量（当日有效，自动续订）。2.国内指中国内地，不含港、澳、台地区。3.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM Pad专属副卡80元/月,24JT303632,80元/月,0分钟,50GB,0条,,关闭语音功能，执行主卡资费标准,套餐内包含国内流量50GB，使用期限包月,适用于可办理副卡且可共享主卡资源的主卡用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad专属副卡80元/月。月费80元，套餐包含国内流量50GB，套餐使用完毕后，共享主卡套内资源（特殊产品除外），主套餐资源不可共享的，按照副卡套外标准资费执行，3元/GB。2.国内指中国内地，不含港、澳、台地区。3.套餐签转按照现行套餐约定执行，变更套餐次月生效。4.套餐内关闭语音和短信功能。5.其它业务资费按公司前期已备案、审批、公示的资费执行。
Tourism Sim Card 79 RMB For 7 Days,25JT303558,79元/7天,100分钟,18GB,100条,,国内流量：按单价0.02元/MB计费，累计至250MB（5元）后，按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推；国内语音：0.15元/分钟；国内短彩信：0.10元/条,无,适用于持有外籍护照、外国人永久居留身份证、港澳居民来往内地通行证（非中国籍）人士订购,至2029年12月31日,线下及线上渠道,20241009,20291231,无,通过中国联通客服热线、营业厅、中国联通APP等咨询办理,不涉及,订购成功后立即生效，生效当日不计入套餐有效期，不含港澳台地区，非连续包月产品，允许跨月使用。
eSIM智能眼镜5G套餐59元,24JT303635,59元/月,200分钟,20GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.1元/分钟,套餐资费：套餐月租59元，套餐内包含国内语音拨打200分钟，国内流量20GB，使用期限包月,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240926,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.套餐资费。套餐月租59元，套餐内包含国内语音拨打200分钟，国内流量20GB。国内接听免费，赠送来电显示。套外国内语音拨打0.1元每分钟，套外国内短彩信0.1元/条，套外国内流量按单价0.02元/MB计费，累计至250MB（5元）后按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推。2.流量封顶。当月套餐外流量消费达到600元封顶。封顶费用包含按套餐外资费收取的上网流量费，不含用户订购的各种流量包费用。封顶后用户当月暂停使用流量功能，次月自动开通。如用户当月申请继续使用，则继续提供服务，按照套外资费标准计费。3.延期使用。套餐包含的国内语音拨打分钟数仅限当月使用，未使用的部分不能延续、累加至次月及以后各月使用；套餐包含的国内流量当月未使用部分结转下月。4.套餐订购、退订规则：无特殊限制要求，但业务办理时如有其它业务限制以实际办理为准。
eSIM Pad专属副卡50元/月,24JT303631,50元/月,0分钟,30GB,0条,,关闭语音功能，执行主卡资费标准,套餐内包含国内流量30GB，使用期限包月,适用于可办理副卡且可共享主卡资源的主卡用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad专属副卡50元/月。月费50元，套餐包含国内流量30GB，套餐使用完毕后，共享主卡套内资源（特殊产品除外），主套餐资源不可共享的，按照副卡套外标准资费执行，3元/GB。2.国内指中国内地，不含港、澳、台地区。3.套餐签转按照现行套餐约定执行，变更套餐次月生效。4.套餐内关闭语音和短信功能。5.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM智能眼镜5G套餐39元,24JT303634,39元/月,100分钟,15GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.1元/分钟,套餐资费：套餐月租39元，套餐内包含国内语音拨打100分钟，国内流量15GB，使用期限包月,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240926,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.套餐资费。套餐月租39元，套餐内包含国内语音拨打100分钟，国内流量15GB。国内接听免费，赠送来电显示。套外国内语音拨打0.1元每分钟，套外国内短彩信0.1元/条，套外国内流量按单价0.02元/MB计费，累计至250MB（5元）后按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推。2.流量封顶。当月套餐外流量消费达到600元封顶。封顶费用包含按套餐外资费收取的上网流量费，不含用户订购的各种流量包费用。封顶后用户当月暂停使用流量功能，次月自动开通。如用户当月申请继续使用，则继续提供服务，按照套外资费标准计费。3.延期使用。套餐包含的国内语音拨打分钟数仅限当月使用，未使用的部分不能延续、累加至次月及以后各月使用；套餐包含的国内流量当月未使用部分结转下月。4.套餐订购、退订规则：无特殊限制要求，但业务办理时如有其它业务限制以实际办理为准。
eSIM Pad专属副卡30元/月,24JT303630,30元/月,0分钟,15GB,0条,,关闭语音功能，执行主卡资费标准,套餐内包含国内流量15GB，使用期限包月,适用于可办理副卡且可共享主卡资源的主卡用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20231019,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad专属副卡30元/月。月费30元，套餐包含国内流量15GB，套餐使用完毕后，共享主卡套内资源（特殊产品除外），主套餐资源不可共享的，按照副卡套外标准资费执行，3元/GB。2.国内指中国内地，不含港、澳、台地区。3.套餐签转按照现行套餐约定执行，变更套餐次月生效。4.套餐内关闭语音和短信功能。5.其它业务资费按公司前期已备案、审批、公示的资费执行。
eSIM智能眼镜5G套餐19元,24JT303633,19元/月,60分钟,5GB,,,套外流量0.02元/MB，累计至5元，按照5元/GB收费，套外语音0.1元/分钟,套餐资费：套餐月租19元，套餐内包含国内语音拨打60分钟，国内流量5GB，使用期限包月,全网用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240926,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.套餐资费。套餐月租19元，套餐内包含国内语音拨打60分钟，国内流量5GB。国内接听免费，赠送来电显示。套外国内语音拨打0.1元每分钟，套外国内短彩信0.1元/条，套外国内流量按单价0.02元/MB计费，累计至250MB（5元）后按照5元/GB计费，流量超过1GB后仍按上述标准计收，以此类推。2.流量封顶。当月套餐外流量消费达到600元封顶。封顶费用包含按套餐外资费收取的上网流量费，不含用户订购的各种流量包费用。封顶后用户当月暂停使用流量功能，次月自动开通。如用户当月申请继续使用，则继续提供服务，按照套外资费标准计费。3.延期使用。套餐包含的国内语音拨打分钟数仅限当月使用，未使用的部分不能延续、累加至次月及以后各月使用；套餐包含的国内流量当月未使用部分结转下月。4.套餐订购、退订规则：无特殊限制要求，但业务办理时如有其它业务限制以实际办理为准。
一号多卡附卡产品-一号双终端（流量版）,25JT300278,10元/月,0分钟,0GB,,,,在手机号码（主号码）的账号和套餐下添加一个eSIM附属终端附卡，共用一个手机号码和套餐，附卡共享主卡套餐内流量及流量叠加包资源,全网用户,本套餐资费有效期：2029年12月31日,线下渠道,20220621,20291231,无,如需退订请到中国联通营业厅办理。,无,月功能费10元，附卡共享主卡套餐内流量及流量叠加包资源
5G副卡基本套餐(优享服务),24BJ300761,10元/月,0分钟,0GB,,,主副卡关系生效后，共享主卡套内资源，主卡套内资源使用完毕后，按主卡套外计费,主副卡关系生效后，共享主卡套内资源，主卡套内资源使用完毕后，按主卡套外计费。,主套餐为此服务速率的北京移网用户,2029年12月31日，到期前如不退订，则自动续订，续订次数10次,线上及线下渠道,20190812,20291231,无,客服热线、中国联通APP、营业厅,无,
eSIM Pad专属副卡10元/月,24JT303629,10元/月,0分钟,0GB,0条,,关闭语音功能，执行主卡资费标准,共享主卡套内流量（特殊产品除外）,适用于可办理副卡且可共享主卡资源的主卡用户,本套餐资费有效期：2029年12月31日,线下及线上渠道,20240523,20291231,无,如需退订请到中国联通营业厅或APP办理。,无,1.eSIM Pad专属副卡10元/月。月费10元，共享主卡套内资源（特殊产品除外），主套餐资源不可共享的，按照副卡套外标准资费执行，3元/GB。2.国内指中国内地，不含港、澳、台地区。3.套餐签转按照现行套餐约定执行，变更套餐次月生效。4.套餐内关闭语音和短信功能。5.其它业务资费按公司前期已备案、审批、公示的资费执行。
沃派星燃无忧卡,24JT301632,185元/月,700分钟,40GB,,内含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费185元/月，内含40GB国内通用流量，700分钟国内语音。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20210328,20250831,无,如需退订，可通过“中国联通APP”-“服务”-“已订业务”页面操作退订，或前往中国联通营业厅办理。,无,
沃派星燃喜乐卡,24JT301631,98.5元/月,300分钟,20GB,,内含来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费98.5元/月，内含20GB国内通用流量，300分钟国内语音。,全网用户,本套餐资费有效期为一年（特殊约定的除外）。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20210328,20250831,无,如需退订，可通过“中国联通APP”-“服务”-“已订业务”页面操作退订，或前往中国联通营业厅办理。,无,
直播套餐99元,25JT301372,99元/月,,100GB,,赠送来电显示,套外流量月租宝3元/GB，套外语音0.1元/分钟，套外短彩信0.1元/条。,月费99元/月，包含100GB国内通用流量。,仅限直播渠道用户办理。,本套餐资费有效期为一年。套餐到期前90日内，双方如无书面异议，有效期自动顺延一年，以此类推。,线下及线上渠道,20250701,20291231,无,如需退订可通过中国联通APP或中国联通营业厅咨询办理。,无,
联通云游卡套餐（畅享版）29元,25JT301785,29元/月,0分钟,1GB,0条,,套外流量消费600元封顶，封顶后暂停当月上网服务，套外语音0.1元/分钟，套外短彩信0.1元/条。,1.联通云游包专属联通云智手机畅玩版组合产品：含联通云智手机（4核CPU、8GB内存、64GB存储）、每月20小时“黑神话:悟空”等云游戏时长。2. 1TB联通云游包游戏定向流量（限通过联通云手机APP端使用）3. 30GB联通云手机定向流量（需领用）4. 1GB通用流量5.来电显示功能,全国用户,本资费有效期属于包月产品，产品到期后，双方如无异议，有效期逐月自动顺延。,全渠道可销售,20241107,20291231,无,请向当地营业厅、10010、中国联通APP等咨询办理,无,优惠活动
